name,price,sale_price,description,origin,quantity,category_id,status,image
bông lan chanh vàng,12.99,10.99,Ngon,vn,50,18,1,
tiramisu,40,30,Ngon,vn,20,19,1,
bông lan fruit,12.99,10.99,Ngon,vn,30,18,1,
bông lan vani,12.99,10.99,Ngon,vn,100,18,1,
Bông lan choccola,12.99,10.99,Ngon,vn,40,18,1,
Bông lan hồng trà,12.99,10.99,Ngon,vn,40,18,1,
panacota xoài,10,8,Ngon,vn,40,17,1,
panacota kiwi,10,8,Ngon,vn,40,17,1,
panacota việt quất,10,8,Ngon,vn,40,17,1,
panacota_dâu,10,8,Ngon,vn,40,17,1,
matcha dâu,15,13,Ngon,vn,40,20,1,
bánh tart,10,9,Ngon,vn,40,2,1,
Set 9 bánh kem bơ,100,90,Ngon,vn,40,2,1,
Plan,5,3,Ngon,vn,40,2,1,
